short_name,age,overall,potential,player_positions,club_name,position_group
K. Mbappé,21,90,95,"ST, LW, RW",Paris Saint-Germain,Forward
K. Havertz,21,85,93,"CAM, RM, CF",Chelsea,Midfielder
Vinícius Jr.,19,80,93,LW,Real Madrid,Forward
J. Sancho,20,87,93,"RM, LM, CAM",Borussia Dortmund,Midfielder
João Félix,20,81,93,"CF, ST",Atlético Madrid,Forward
T. Alexander-Arnold,21,87,92,RB,Liverpool,Defender
G. Donnarumma,21,85,92,GK,Milan,Goalkeeper
M. de Ligt,20,85,92,CB,Juventus,Defender
E. Haaland,19,84,92,ST,Borussia Dortmund,Forward
S. Tonali,20,77,91,"CDM, CM",Milan,Midfielder
Trincão,20,78,91,"RW, LW, CAM",FC Barcelona,Midfielder
Rodrygo,19,79,90,"RW, LW",Real Madrid,Forward
Ansu Fati,17,76,90,"LW, RW",FC Barcelona,Forward
D. Upamecano,21,79,90,CB,RB Leipzig,Defender
F. Valverde,21,83,90,CM,Real Madrid,Midfielder
M. Greenwood,18,77,89,"RM, ST",Manchester United,Midfielder
M. Edwards,21,77,89,RW,Vitória Guimarães,Forward
T. Kubo,19,75,89,"RM, CM, CAM",Villarreal CF,Midfielder
T. Almada,19,73,89,"CAM, CM, LW",Vélez Sarsfield,Midfielder
M. Ødegaard,21,83,89,"CAM, CM, RM",Real Madrid,Midfielder
A. Davies,19,81,89,"LB, LM, RM",FC Bayern München,Defender
Cucurella,21,81,89,"LM, LB",Getafe CF,Defender
Ferran Torres,20,81,89,"RM, LM, CF",Manchester City,Midfielder
J. Bellingham,17,69,88,"CM, LM, RM",Borussia Dortmund,Midfielder
M. Diaby,20,81,88,LM,Bayer 04 Leverkusen,Midfielder
A. Urzi,20,73,88,"LM, CM, RM",Club Atlético Banfield,Midfielder
Pedri,17,72,88,"LM, CAM",FC Barcelona,Midfielder
J. Doku,18,71,88,"RW, LW",RSC Anderlecht,Forward
B. Saka,18,75,88,"LM, LWB, RW",Arsenal,Defender
Riqui Puig,20,75,88,"CM, CAM",FC Barcelona,Midfielder
A. Hakimi,21,83,88,RM,Inter,Midfielder
E. Camavinga,17,76,88,CM,Stade Rennais FC,Midfielder
P. Foden,20,79,88,"CAM, CM",Manchester City,Midfielder
F. Wirtz,17,68,88,"CAM, RM",Bayer 04 Leverkusen,Midfielder
M. Ihattaren,18,77,88,"CAM, RM, CM",PSV,Midfielder
J. David,20,77,88,"ST, CF, CAM",LOSC Lille,Midfielder
E. Tapsoba,21,78,88,CB,Bayer 04 Leverkusen,Defender
R. Cherki,16,67,88,"CAM, RM, LM",Olympique Lyonnais,Midfielder
Antony,20,78,88,"RW, LW",Ajax,Forward
I. Konaté,21,78,88,CB,RB Leipzig,Defender
Luís Maximiano,21,78,88,GK,Sporting CP,Goalkeeper
Emerson,21,78,88,"RB, RM, RWB",Real Betis,Defender
A. Lunin,21,75,87,GK,Real Madrid,Goalkeeper
C. Pulisic,21,81,87,"LW, RW, LM",Chelsea,Midfielder
D. Szoboszlai,19,75,87,"CAM, LM",FC Red Bull Salzburg,Midfielder
M. Boadu,19,75,87,ST,AZ Alkmaar,Forward
G. Reyna,17,68,87,"LM, CAM",Borussia Dortmund,Midfielder
M. Caqueret,20,75,87,"CM, CDM",Olympique Lyonnais,Midfielder
Reinier,18,71,87,"CF, CAM",Borussia Dortmund,Midfielder
B. Kamara,20,79,87,"CDM, CB",Olympique de Marseille,Defender
Evanilson,20,73,87,ST,FC Porto,Forward
W. Saliba,19,74,87,CB,Arsenal,Defender
A. Hložek,17,74,87,"RM, ST, LM",Sparta Praha,Midfielder
V. Osimhen,21,79,87,ST,Napoli,Forward
F. Pellistri,18,71,87,"RM, RW",Peñarol,Midfielder
R. Gravenberch,18,71,87,"CM, CDM",Ajax,Midfielder
